cmaEs	differentialEvolution	es-0.02	es-0.25	es-0.5	ga-0.02	ga-0.25	ga-0.5	pso
6745	315	180	9930	9930	600	5100	4600	1100
5510	915	180	9930	180	600	1600	1100	600
7030	840	180	9930	9930	600	600	9600	1100
8360	165	180	9930	9930	600	600	9600	1100
6840	390	180	3030	9930	600	9600	9600	1100
5700	990	180	9930	9930	100	100	100	100
6745	840	180	180	9930	100	100	100	100
5700	915	180	9930	9930	600	6600	9600	1100
5985	165	180	1980	9930	600	1100	9600	1600
5890	15	30	30	30	100	100	100	100
6270	540	180	180	9930	600	600	9600	1600
4560	1440	180	3630	9930	600	2100	9600	2100
4275	315	180	180	9930	600	9600	9600	1100
5890	690	180	180	9930	600	7600	5100	1100
6555	615	180	9930	9930	600	6600	9600	2100
5035	390	180	9930	9930	600	9600	9600	1100
5985	915	180	9930	9930	600	9600	7600	600
10010	465	30	30	30	100	100	100	100
10010	1065	180	180	9930	600	600	9600	2100
10010	315	180	180	9930	100	100	100	100
10010	165	30	30	30	100	100	100	100
10010	165	180	180	9930	100	100	100	100
10010	240	180	180	9930	600	1600	4100	600
10010	15	30	30	30	100	100	100	100
